unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(10),qgtse(10),qgts(5),qgtse(5),qgts(25),qgtse(25),qgts(50),qgtse(50),qgts(100),qgtse(100),qgts(200),qgtse(200),SeasonalNaive
ID194,smape,0.007883392,0.006769528,0.013163039,0.0025251983,0.0051543536,0.007184795,0.007132775,0.0076551167,0.0077137854,0.0075277835,0.00859688,0.0076784613,0.007940752,0.009980535,0.009699564,0.007689582,0.0087179765,0.008060839,0.006894555,0.008045743,0.026682183
ID195,smape,0.009710683,0.009626022,0.00928361,0.008718966,0.009648567,0.010141149,0.009248516,0.009829627,0.009423046,0.009533163,0.009316608,0.009442082,0.009221885,0.009146972,0.009538025,0.009722287,0.010160126,0.009454254,0.009589525,0.009408881,0.008182459
ID196,smape,0.12855384,0.14653891,0.1801458,0.19261417,0.15040404,0.113473125,0.13955298,0.16065013,0.12541215,0.094465725,0.10626413,0.07140564,0.114138335,0.15432635,0.16532609,0.12875284,0.098986715,0.066536024,0.16496207,0.0859522,0.081487894
ID197,smape,0.0028175227,0.0033224097,0.0037280712,0.003834908,0.0026850866,0.0027523048,0.0032800876,0.0025935504,0.00330514,0.0030787385,0.0028810913,0.0033122515,0.0031392719,0.0027135662,0.0029821447,0.002388928,0.0026061824,0.0028672847,0.0029642156,0.0029873054,0.043783337
ID198,smape,0.008357836,0.008095471,0.009248222,0.009450165,0.008452418,0.008210309,0.007441423,0.008312281,0.007657094,0.008298226,0.008061456,0.0077914475,0.007921807,0.008031076,0.007622866,0.008114786,0.008354062,0.00845076,0.008176142,0.007709072,0.014865914
ID199,smape,0.1914148,0.1877236,0.1650158,0.13904709,0.167111,0.17024393,0.18492745,0.1887354,0.17977425,0.18212646,0.17574905,0.19774504,0.15239841,0.1674726,0.1734735,0.15376872,0.19290535,0.16040438,0.1835995,0.17091016,0.16286668
ID2,smape,0.06269062,0.053980656,0.04950811,0.090157464,0.045622744,0.06111951,0.07331209,0.0703732,0.06916292,0.06022495,0.055507787,0.057777792,0.06132731,0.07531415,0.051496953,0.09274415,0.07885782,0.060915057,0.07495391,0.061890915,0.05253283
ID20,smape,0.0475013,0.047509246,0.04687707,0.047986902,0.04560331,0.047982812,0.046583783,0.047253795,0.04756099,0.047812797,0.046799764,0.04786715,0.046975493,0.047989246,0.047351018,0.04789325,0.046899334,0.04745262,0.047612317,0.04721917,0.049862362
ID200,smape,0.11607781,0.107142046,0.14960264,0.15602437,0.13850494,0.11842205,0.107367754,0.099922225,0.09281351,0.10005422,0.107963085,0.1005016,0.104908444,0.11487605,0.10939354,0.109365135,0.11328523,0.10590168,0.10323511,0.10648093,0.37989634
ID201,smape,0.010305401,0.010254234,0.0075852415,0.0063458104,0.007988766,0.008890405,0.010271794,0.011540838,0.010362811,0.011956379,0.009736824,0.011210022,0.010627124,0.009909885,0.010674855,0.011061115,0.010385146,0.010712921,0.01133728,0.010018034,0.014407545
ID202,smape,0.05863897,0.04943581,0.06926353,0.02651051,0.05244786,0.051290695,0.049301833,0.05900328,0.05844277,0.052781142,0.060034707,0.059471272,0.063085884,0.060166415,0.058303602,0.06630007,0.05046738,0.061097316,0.053174686,0.05834491,0.15511142
ID21,smape,0.0085079055,0.010122577,0.010899566,0.022711279,0.012533557,0.00955151,0.011508787,0.013755329,0.009522753,0.007573205,0.0075740595,0.0071146125,0.007113822,0.0143476315,0.0119412225,0.005694952,0.008270471,0.0081337495,0.013337897,0.0094208885,0.016766468
ID22,smape,0.06085357,0.05870352,0.053125747,0.048304655,0.04480042,0.0597547,0.063690186,0.0647596,0.06291015,0.06768732,0.06217176,0.06583544,0.06313425,0.0609893,0.06554597,0.06488787,0.0613243,0.06464673,0.06562626,0.06292766,0.12519497
ID23,smape,0.08896932,0.08025572,0.0775108,0.11062132,0.07995025,0.07247659,0.11578907,0.08794364,0.103298634,0.09544551,0.063576296,0.08373713,0.066979215,0.081186935,0.0832099,0.069164574,0.110991254,0.087990284,0.08914643,0.088278584,0.17594722
ID24,smape,0.12576571,0.103187285,0.14689854,0.115123615,0.0944739,0.10478228,0.12380894,0.10695554,0.11992793,0.11142303,0.11858604,0.11479427,0.10897211,0.12909955,0.13018915,0.12033601,0.10709389,0.10761328,0.10634397,0.10881783,0.21669248
ID25,smape,0.12576571,0.103187256,0.14689854,0.115123615,0.0944739,0.10478228,0.12380894,0.10695554,0.11992793,0.11142303,0.11858604,0.11479427,0.10897211,0.12909955,0.13018915,0.12033601,0.10709389,0.10761328,0.10634397,0.10881783,0.21669248
ID26,smape,0.08089067,0.075899474,0.06020698,0.054129515,0.07193435,0.065249555,0.07023985,0.06446644,0.0792933,0.08337565,0.077394,0.08045396,0.072945945,0.073151104,0.066531114,0.0700577,0.065540336,0.06861554,0.0689443,0.08672125,0.12899354
ID28,smape,0.24457373,0.23588258,0.24261595,0.24756904,0.22516668,0.25631577,0.24351579,0.23999335,0.22868095,0.24045372,0.24558452,0.26745012,0.27738005,0.25867128,0.24948356,0.26262495,0.24606812,0.24592379,0.2503206,0.24338552,0.3000666
ID29,smape,0.22144091,0.22047046,0.20805427,0.23437911,0.23775306,0.22249433,0.23046991,0.22933146,0.23221464,0.22178844,0.22708952,0.22337261,0.22114661,0.21996552,0.2315639,0.22829846,0.22760604,0.22715122,0.23661646,0.2254208,0.11394082
ID3,smape,0.085736394,0.083020605,0.074724555,0.06261256,0.08222398,0.09295649,0.078866065,0.08269857,0.078668475,0.08336135,0.07634478,0.08409879,0.07042938,0.0729285,0.076692425,0.073647514,0.08788772,0.07752434,0.081488475,0.076892585,0.057489894
ID30,smape,0.1321114,0.1357638,0.12740922,0.13592781,0.1279292,0.13549623,0.13513327,0.13535058,0.13325527,0.13183315,0.13310115,0.13239923,0.13575241,0.13499762,0.14112124,0.13373172,0.14063115,0.13492657,0.13447663,0.13917682,0.110341765
ID31,smape,0.06738162,0.059580646,0.072697915,0.05781181,0.06910734,0.06834987,0.060680263,0.05281263,0.061092123,0.060789414,0.058311053,0.06287193,0.06678655,0.06879351,0.054736864,0.059645325,0.052376203,0.062111706,0.060884163,0.06462867,0.11733618
ID32,smape,0.14733429,0.15845975,0.15377441,0.17186576,0.17363238,0.1440591,0.15277795,0.1549156,0.1561325,0.15130404,0.15006451,0.1499085,0.15040092,0.15935954,0.15805775,0.1404042,0.14701806,0.16320446,0.14624806,0.1421686,0.11249712
ID33,smape,0.027418729,0.028494548,0.029801236,0.020640511,0.026373245,0.028045472,0.025657777,0.027492758,0.02806093,0.026915282,0.025522163,0.025848182,0.02591284,0.028052663,0.028310671,0.026205648,0.027806263,0.024288349,0.026308343,0.024442516,0.041828297
ID34,smape,0.1313943,0.16426834,0.26118708,0.1672957,0.052749343,0.08280585,0.21714835,0.12517361,0.14616084,0.10745582,0.10877528,0.0997404,0.14641874,0.09858536,0.117218845,0.123730175,0.11422567,0.17949969,0.106367886,0.21928231,0.34837162
ID35,smape,0.01691836,0.015652552,0.026666733,0.0101609705,0.014839498,0.012694823,0.016473474,0.016239686,0.017666884,0.015857996,0.017813921,0.015450449,0.015893344,0.011732373,0.015001487,0.01740862,0.010349674,0.018536111,0.015200909,0.01622247,0.046915166
ID36,smape,0.0586255,0.07270792,0.0553192,0.09400188,0.06890638,0.06673966,0.07617956,0.05221736,0.063748494,0.06989663,0.063327946,0.06316532,0.060900915,0.06529814,0.06771105,0.050914634,0.07748489,0.054473408,0.06810185,0.064016975,0.057312768
