unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID151,smape,0.021315848,0.018050706,0.022918276,0.018319707,0.06928037,0.013115428,0.017764747,0.028587975,0.020226032,0.029783055,0.03993954,0.02608256,0.033349413
ID152,smape,0.021466186,0.027967134,0.01957971,0.01722428,0.03716761,0.035348985,0.025917523,0.016440764,0.01952401,0.021670433,0.023668943,0.01829012,0.031768616
ID153,smape,0.046018224,0.07819108,0.017890066,0.04073402,0.025128588,0.071565144,0.047817156,0.017299179,0.017608175,0.025785783,0.03954902,0.056651264,0.026928196
ID154,smape,0.059919845,0.07899067,0.04351769,0.03274527,0.10518271,0.071378335,0.07507814,0.08271576,0.043972526,0.061654415,0.096821405,0.07736805,0.03417453
ID155,smape,0.07177805,0.031715553,0.055666238,0.034957867,0.11282294,0.06220592,0.082974605,0.09032004,0.07030538,0.11814981,0.086344846,0.06606964,0.03319039
ID156,smape,0.013376781,0.027748594,0.010568719,0.032139067,0.016424121,0.025354726,0.02324444,0.013259489,0.011252381,0.012161496,0.01713605,0.021908395,0.025241988
ID157,smape,0.072789036,0.026181618,0.0562709,0.026549377,0.10604284,0.02685807,0.048698574,0.067715414,0.06300273,0.086717814,0.078359134,0.032711074,0.032939844
ID158,smape,0.033470172,0.07654045,0.047644828,0.021562112,0.033352625,0.08544766,0.04094063,0.040885307,0.023965053,0.027369762,0.03519924,0.042309154,0.027911233
ID159,smape,0.037902046,0.01564319,0.018575717,0.02283301,0.038477007,0.016355194,0.015177552,0.035142623,0.04570176,0.033409666,0.06002131,0.020505704,0.04348515
ID16,smape,0.014281671,0.017732734,0.024637641,0.01968296,0.014920381,0.015533672,0.011684424,0.017222324,0.018573487,0.026860675,0.012197546,0.015872966,0.028845878
ID160,smape,0.10940387,0.0807856,0.043246444,0.057418894,0.12485211,0.054692507,0.06366886,0.107225664,0.06331193,0.0406905,0.115266114,0.08542185,0.04022478
ID161,smape,0.035031725,0.01169699,0.009191919,0.011229998,0.07670951,0.01619306,0.010959376,0.02219556,0.020295233,0.04474041,0.031600393,0.014496756,0.031598587
ID162,smape,0.017080558,0.033674054,0.017603153,0.018578617,0.022758387,0.036469888,0.027474863,0.027126348,0.011931227,0.01287349,0.015230067,0.033666503,0.0344186
